Sl.No,Name,Regn.No,Address,"Name of the
Chairman /
MD & CEO",Designation,"Email of
Chairman/CEO/MD","Appointed
Actuary",Telephone/Fax,Email-id of Insurer
1,Life Insurance Corporation of India,512,"Yogakshema, Jeevan
Bima Marg,Post Box
No. 19953,Mumbai –
400 021",Mr. M R Kumar,Chairman,Chairman@licindia.com,Mr. Dinesh Pant,"Tel : 22-22027060
(Chairman),Tel.
(EPABX) 022-
66598000,Fax:022-
22028600,",https://www.licindia.in/
2,"HDFC Life
Insurance
Co. Ltd",101,"13th Floor, Lodha
Excelus, Apollo Mills
Compound, N.M. Joshi
Road, Mahalaxmi,
Mumbai 400 011,
Maharashtra","Ms. Vibha
Padalkar",MD & CEO,,"Ms. Eshwari
Murugan","Tel : 022-67516666,Fax:
022-6751 6550",https://www.hdfclife.com/
3,"Max Life
Insurance
Co. Ltd.",104,"3rd, 11th, 12th Floor, DLF
Square
Building,Jacaranda
Marg, DLF City, Phase –
II,Gurgaon – 122002,
Haryana","Mr. Prashant
Tripathy",MD & CEO,ceo@maxlifeinsurance.com,"Mr. Jose
Chathuparambil
John","Tel : 0124-4121500,Fax:
0124-6659811",https://www.maxlifeinsurance.com/
4,"ICICI
Prudential
Life
Insurance
Co. Ltd,",105,"ICICI Prulife
Towers,1089,
Appasaheb Marathe
Marg,
Prabhadevi,Mumbai –
400 025",Mr. N S Kannan,MD & CEO,,Mr. Souvik Jash,"Tel : (022) 40391992,Fax
no.: (022) 66622031",https://www.iciciprulife.com/
5,"Kotak
Mahindra
Life
Insurance
Co. Ltd.",107,"7th Floor, Kotak Infiniti,
Building No.21, Infinity
Park, Off Western
Express
Highway,General AK
Vaidya Marg, Malad
(East),Mumbai – 400
097","Mr. Mahesh
Balasubramanian",MD & CEO,,"Mr. R.
Jayaraman","Tel:022-
66057652/6605777,Fax:
022 6742 5650",https://insurance.kotak.com/
6,"Aditya Birla
SunLife
Insurance
Co. Ltd.",109,"One India Bulls
Centre,Tower 1, 16th
Floor, Jupiter Mill
Compound, 841,
SenapatiBapatMarg,
Elphinstone
Road,Mumbai-400013.",Mr. Kamlesh Rao,MD & CEO,,Mr. Nakul Yadav,"Tel: 022-
43569000,Fax:022-
56783377",https://lifeinsurance.adityabirlacapital.com
7,"TATA AIA
Life
Insurance
Co. Ltd.",110,"14th Floor, Tower A,
Peninsula Business
Park Lower Parel,
Senapati Bapat Marg,
Mumbai - 400013","Mr. Naveen
Tahilyani",MD & CEO,,Mr. Ankur Saraf,"Tel :022-66479000,Fax :
022-66550711",http://tataaia.com/
8,"SBI Life
Insurance
Co. Ltd.",111,"“Natraj”, M.V. Road &
Western Express
Highway Junction,
Andheri (East),
Mumbai 400069","Mr. Mahesh
Kumar Sharma",MD&CEO,,"Mr. Prithesh
Chaubey","Tel : 022-61910000,Fax:
022 61910012",https://www.sbilife.co.in/
9,"Bajaj Allianz
Life
Insurance
Co. Ltd.",116,"Bajaj Allianz House,
Airport
Road,Yerawada,Pune
– 411 006",Mr. Tarun Chugh,MD&CEO,,"Mr. Avdhesh
Gupta","Tel : 020-66026773,Fax
: 020 -66026789",https://www.bajajallianzlife.com
10,"PNB MetLife
India
Insurance
Co. Ltd,",117,"Unit No. 101, 1st Floor,
Techniplex-1,
Techniplex
Complex,Veer
Savarkar Flyover, Off S
V Road Goregaon
(West), Maharashtra-
400062.","Mr. Ashish Kumar
Srivastava",MD & CEO,,Ms. Asha Murali,"Tel : 022-
41790000,Fax:022-
41790203",https://www.pnbmetlife.com/
11,"Reliance
Nippon Life
Insurance
Company
Limited,",121,"Reliance Centre, Off
Western Express
Highway, Santacruz
East, Mumbai – 4000
055.","Mr. Ashish Vohra,",CEO & ED,,"Mr. Pradeep
Kumar Thapliyal","Tel: 022 3000 2000,Fax:
022 3000 2222",http://www.reliancenipponlife.com/
12,"Aviva Life
Insurance
Company
India Ltd.",122,"Aviva Tower, Sector
Road, Opposite Golf
Course, DLF-Phase V,
Sector 43, Gurgaon
122003",Mr. Amit Malik,MD & CEO,,"Mr. Ajai Kumar
Tripathy","Tel: 0124-
2709000/01,Fax: 0124-
270 9007",https://www.avivaindia.com/
13,"Sahara
India Life
Insurance
Co. Ltd.",127,"Sahara India Centre,1,
Kapoorthala Complex,
Aliganj,Lucknow – 226
024",Mr. A K Dasgupta,CEO & President,,"Mr.Ripudaman
Sethi","Tel:0522-
2329568,Fax:0522-
2378200",https://www.saharalife.com/
14,"Shriram Life
Insurance
Co. Ltd.",128,"Ramki Selenium,Plot
No:31 & 32,Beside
Andhra Bank Training
Centre, Financial
District,
Gachibowli,Hyderabad
– 500032.","Mr. Casparus
Jacobus Hendrik
Kromhout,",MD & CEO,,"Mr Johannes
Gilliam van
Helsdingen","Tel:040-23434466-
72,Fax: 040-23434488",https://shriramlife.com/
